Strain,env,Mean_GR,Std_err,DFEmean,DFEvar,DFEskew ,DFEmean_min,DFEmean_max,DFEvar_min,DFEvar_max,DFEskew_min,DFEskew_max
LK1-A02,YPD,0.745748127,0.001885788,-0.024439376,0.000625153,-0.992206551,-0.030362471,-0.017712968,0.000332035,0.000850621,-1.536149062,-0.479432571
LK1-A05,YPD,0.743066755,0.002514097,-0.030938917,0.001150249,-1.182262383,-0.039070378,-0.022502488,0.000610708,0.001642731,-1.66592675,-0.252259826
LK1-A06,YPD,0.704105056,0.001385501,-0.033974517,0.001312981,-1.938636976,-0.042722337,-0.025078877,0.000568549,0.002005921,-2.78922076,-0.636964422
LK1-A09,YPD,0.61161738,0.001441748,-0.018654765,0.000729045,-0.976206619,-0.024964816,-0.012238319,0.000438991,0.000993056,-1.607237253,-0.327942424
LK1-B03,YPD,0.613580258,0.001987651,-0.007000683,0.000865012,-0.726866793,-0.014035434,0.000340136,0.000449719,0.001279467,-1.767667646,0.692515247
LK1-B04,YPD,0.58150326,0.002049753,-0.017433678,0.001104113,-0.674581606,-0.025075555,-0.010146067,0.000739919,0.00145878,-1.193463011,-0.211345245
LK1-B05,YPD,0.623567618,0.0036071,-0.007077276,0.00079964,-0.208690753,-0.014157941,-0.000353188,0.000426321,0.001117751,-1.10654394,0.793702267
LK1-B08,YPD,0.583368411,0.001823438,-0.01426383,0.000979826,-0.971899973,-0.021215976,-0.007286619,0.000495451,0.00146305,-2.03156091,0.616237015
LK1-C06,YPD,0.749167403,0.002373455,-0.035469446,0.001520236,-1.383409878,-0.044802803,-0.02662996,0.000807728,0.002105762,-1.940785652,-0.799779924
LK1-C07,YPD,0.674324361,0.000821961,-0.030306283,0.001016563,-0.19219265,-0.038536457,-0.022401257,0.000672592,0.001335656,-0.797340556,0.377325066
LK1-C09,YPD,0.768383495,0.002842606,-0.034640906,0.001935754,-1.494179093,-0.045119749,-0.023309761,0.000929539,0.002739404,-2.182756037,-0.928746623
LK1-C11,YPD,0.709812747,0.002119406,-0.043603976,0.002146646,-1.436693373,-0.054081896,-0.032796692,0.001121194,0.002945725,-1.958256755,-0.914928643
LK1-D02,YPD,0.634524978,0.001101989,-0.010586664,0.000999863,-0.657213171,-0.01810798,-0.002833748,0.000497836,0.001441757,-1.703924295,0.485492821
LK1-D06,YPD,0.614237056,0.002381714,-0.018980502,0.000827574,-0.469152211,-0.026694665,-0.012356865,0.000516072,0.001112537,-1.085734377,0.075121776
LK1-D08,YPD,0.664938854,0.002720308,-0.026192698,0.00104296,-0.688820596,-0.033993239,-0.01814588,0.000647776,0.001374882,-1.269539414,-0.109825008
LK1-D12,YPD,0.61735189,0.00191313,-0.010239059,0.000996023,-0.973842136,-0.016959022,-0.003500574,0.000515214,0.00143168,-1.641183766,0.400057082
LK1-E01,YPD,0.630910806,0.002411074,-0.016182086,0.00065171,-0.298469736,-0.022504661,-0.009433621,0.000375042,0.000890582,-0.882607674,0.441956792
LK1-E04,YPD,0.683565391,0.022265734,-0.024374773,0.001430458,-2.292900857,-0.034867898,-0.014118973,0.000464923,0.002339386,-3.057822775,-0.214888089
LK1-E09,YPD,0.674470676,0.017980212,-0.028449059,0.001263807,-1.625859207,-0.03737247,-0.019384839,0.00056019,0.001876881,-2.190789713,-0.950782705
LK1-F05,YPD,0.718448744,0.004982449,-0.041667322,0.001567577,-1.460594683,-0.050157342,-0.032974715,0.000803915,0.002191115,-2.183015051,-0.513673959
LK1-G03,YPD,0.71607382,0.001000773,-0.028835618,0.000724062,-1.001607734,-0.035481749,-0.021682798,0.000420541,0.000981253,-1.545065416,-0.46548929
LK1-G08,YPD,0.598705827,0.003825914,-0.011235724,0.001089787,-1.326364256,-0.019130347,-0.004085296,0.000522995,0.00162512,-1.955741143,0.13020868
LK1-G09,YPD,0.565657227,0.000852454,-0.01641146,0.000806132,-0.424907857,-0.022879043,-0.010253505,0.000561023,0.001027341,-0.811847092,-0.044731163
LK1-G11,YPD,0.698702939,0.002268882,-0.033939367,0.001445244,-1.268873777,-0.042364154,-0.025030109,0.000831426,0.001970736,-1.825468762,-0.809292937
LK1-G12,YPD,0.608323732,0.002049901,-0.013258827,0.000602385,-0.357391839,-0.018529903,-0.00770064,0.000342634,0.000886327,-1.441202517,0.845119285
LK1-H04,YPD,0.60430481,0.001549621,-0.020679661,0.001148663,-1.295330524,-0.02967524,-0.01149098,0.000519877,0.001668923,-1.845951318,-0.495746275
LK2-A01,YPD,0.669912177,0.00082545,-0.038725941,0.001749146,-1.338211741,-0.047990461,-0.030420731,0.000931031,0.002432902,-1.852071802,-0.708223482
LK2-A05,YPD,0.598770211,0.001328502,-0.007389426,0.000752443,-0.506511889,-0.013380005,-0.001518226,0.000466606,0.00100528,-1.172285386,0.256032411
LK2-A06,YPD,0.588207168,0.001528234,-0.004915831,0.000636427,-0.197259417,-0.011267743,0.001647053,0.000412173,0.000846536,-0.718586883,0.369705663
LK2-A07,YPD,0.678670746,0.000987488,-0.008733444,0.000668044,-0.386327386,-0.014922261,-0.002899842,0.000411415,0.000921426,-1.048615424,0.395224619
LK2-A10,YPD,0.605281765,0.001116005,-0.005849488,0.000684704,-0.333176551,-0.012023919,-0.000162121,0.000376367,0.000993194,-1.36237872,0.808043031
LK2-A11,YPD,0.549629659,0.005409046,-0.012991385,0.000758963,-0.274482077,-0.019587264,-0.006973866,0.000499862,0.001017195,-0.759785822,0.285584396
LK2-A12,YPD,0.644390771,0.000725333,-0.025991273,0.00083923,-1.000062768,-0.032683437,-0.019706021,0.000504229,0.001125786,-1.380375991,-0.599101071
LK2-B04,YPD,0.739895887,0.001919859,-0.027339755,0.000586192,-0.684177073,-0.033446182,-0.021454668,0.000370599,0.000767629,-1.132204535,-0.13826568
LK2-B05,YPD,0.710400273,0.001694235,-0.035517779,0.001986012,-2.039279067,-0.046198343,-0.025600574,0.000843975,0.003016279,-2.927811215,-0.77854743
LK2-B07,YPD,0.669512719,0.002134717,-0.035054244,0.000917644,-0.29204002,-0.041522246,-0.028432178,0.000648261,0.001167099,-0.828116214,0.233522671
LK2-C05,YPD,0.602225504,0.001389961,-0.018514385,0.00123617,-1.638373209,-0.026333839,-0.010258762,0.000562697,0.001861254,-2.506404847,-0.334140401
LK2-C09,YPD,0.644809752,0.00120551,-0.015548851,0.001069209,-1.34847417,-0.024301497,-0.006840903,0.000453379,0.00158117,-1.963711598,-0.123414382
LK2-D05,YPD,0.633320939,0.000544406,-0.015754332,0.001064579,-0.590446511,-0.022476662,-0.008811988,0.000620755,0.001484414,-1.453058813,0.369187676
LK2-D07,YPD,0.664300127,0.002927151,-0.024261741,0.000921179,-0.883507111,-0.031844115,-0.016295425,0.000540687,0.001219973,-1.539081108,-0.24570561
LK2-D09,YPD,0.627957124,0.002073227,-0.019465241,0.000703012,-0.45994511,-0.024921083,-0.013861623,0.000474293,0.000904064,-0.942281496,0.012250869
LK2-E07,YPD,0.693696323,0.000836698,-0.023521366,0.001013136,-1.140233712,-0.03202962,-0.014842105,0.00052352,0.001434639,-1.780710668,-0.383581529
LK2-E08,YPD,0.661662398,0.001434606,-0.019249643,0.000892136,-0.549541419,-0.025567474,-0.012470877,0.000542083,0.001211243,-1.139926186,0.204969912
LK2-E12,YPD,0.670075965,0.001972046,-0.027508261,0.0017251,-1.362627216,-0.037058148,-0.017815296,0.000847305,0.002527844,-2.192632133,-0.290653037
LK2-F04,YPD,0.735861442,0.003259892,-0.03445365,0.00139276,-1.029008925,-0.042747019,-0.026123741,0.000871696,0.001816825,-1.521980152,-0.548798198
LK2-F07,YPD,0.660572602,0.002655611,-0.030387694,0.001329371,-1.032188966,-0.039691608,-0.020689459,0.000743593,0.001860005,-1.610176322,-0.29806859
LK2-G07,YPD,0.654525602,0.003972427,-0.02269156,0.001152278,-0.608307708,-0.030677988,-0.014908235,0.000686847,0.001575643,-1.224674099,0.095594823
LK2-G10,YPD,0.667861393,0.001771711,-0.026142606,0.000903221,-0.428470654,-0.033002275,-0.018703836,0.000620306,0.00116,-0.84857171,-0.043465535
LK3-A01,YPD,0.692583421,0.00027069,-0.036575159,0.001560917,-1.26205207,-0.045850591,-0.027965273,0.000870064,0.002125867,-1.867085865,-0.491138479
LK3-A05,YPD,0.640813897,0.001224151,-0.013326512,0.000358082,-0.436215067,-0.018613898,-0.008174779,0.000213405,0.000482054,-1.02476106,0.201591493
LK3-A07,YPD,0.665136701,0.00131986,-0.026863579,0.000956223,-0.942648226,-0.034113855,-0.019946147,0.000573482,0.001292272,-1.505459978,-0.216474338
LK3-B02,YPD,0.612941584,0.000443142,-0.017901212,0.000641275,-1.506821987,-0.023782466,-0.011889072,0.000280369,0.000975291,-2.449294778,0.349788588
LK3-B08,YPD,0.674758417,0.000827876,-0.033172391,0.001299711,-1.107881645,-0.041462402,-0.02543669,0.000726765,0.001785633,-1.648743444,-0.346606974
LK3-B10,YPD,0.732125901,0.002817104,-0.037784353,0.001275242,-1.267903479,-0.046177299,-0.029829098,0.000658809,0.00180457,-1.781859469,-0.595609619
LK3-B11,YPD,0.643151338,0.001028498,-0.015321617,0.000874879,-1.129629805,-0.022083107,-0.008477054,0.000487201,0.001226349,-1.794271131,-0.23163967
LK3-B12,YPD,0.605301375,0.000882316,-0.018932978,0.001167939,-0.250406937,-0.026522831,-0.010729446,0.000637811,0.001645817,-1.195816627,0.654328613
LK3-C04,YPD,0.652453784,0.002370256,-0.040717417,0.001028199,-0.63733814,-0.048170024,-0.032779361,0.000712889,0.001286518,-1.01206185,-0.288805405
LK3-C06,YPD,0.683857473,0.004287036,-0.030948638,0.001246166,-1.226306939,-0.039712112,-0.022051728,0.000647074,0.00178015,-1.661919794,-0.531159412
LK3-C09,YPD,0.67007622,0.004147847,-0.019526079,0.001327714,-0.940765091,-0.027858109,-0.011429258,0.00078951,0.001816551,-1.445121667,-0.283559919
LK3-C11,YPD,0.649556018,0.000576726,-0.015980082,0.000821341,-0.378830681,-0.022481488,-0.009790528,0.000457594,0.001127067,-1.319759956,0.420465567
LK3-C12,YPD,0.677596124,0.001311814,-0.031070705,0.001185261,-1.036728445,-0.039187465,-0.022704204,0.000652781,0.001666248,-1.54384125,-0.219904015
LK3-D01,YPD,0.737590962,0.002107369,-0.030673324,0.001551489,-1.636505683,-0.040116202,-0.021856675,0.000673047,0.002293263,-2.353515575,-0.655745791
LK3-D04,YPD,0.615900248,0.002101211,-0.017172746,0.000982972,-0.763763702,-0.024771295,-0.009648653,0.000494141,0.001451386,-1.515876935,0.681005585
LK3-D05,YPD,0.578423608,0.005207389,-0.012973981,0.001319569,-0.194792647,-0.021858095,-0.004437607,0.000823268,0.001810001,-0.891322554,0.370576529
LK3-D08,YPD,0.696184314,0.001066733,-0.034908867,0.001495063,-0.728798598,-0.046169772,-0.024376658,0.000871184,0.002029822,-1.232691979,-0.198159057
LK3-D09,YPD,0.597861079,0.001233373,-0.00953157,0.000875658,-0.433577864,-0.016622883,-0.003185021,0.000610131,0.001108427,-0.769576203,-0.040634237
LK3-E06,YPD,0.705057545,0.001324284,-0.02693241,0.000939727,-1.585826695,-0.034254759,-0.019554519,0.000458962,0.001381305,-2.295105478,-0.510676122
LK3-F06,YPD,0.551361788,0.003316742,-0.014754991,0.000779065,-0.172375875,-0.020814013,-0.009209548,0.000521986,0.001011002,-0.731511842,0.398971016
LK3-F10,YPD,0.703675844,0.004109679,-0.025904399,0.001266043,-1.271384429,-0.033621248,-0.01819814,0.000682999,0.001808543,-1.863765724,-0.254106786
LK3-G01,YPD,0.674295255,0.001347415,-0.030667272,0.000765296,-1.682946608,-0.037484877,-0.023942902,0.000330653,0.001163202,-2.356442497,-0.108123834
LK3-G02,YPD,0.652525169,0.001267881,-0.019988679,0.000843889,0.050892317,-0.027835256,-0.011883242,0.000472771,0.00119489,-0.713640402,0.787247371
LK3-G08,YPD,0.764463573,0.001947704,-0.038078386,0.001506814,-1.305798444,-0.047310244,-0.029217889,0.000856355,0.002076662,-1.987953194,-0.336783136
LK3-G10,YPD,0.62444155,0.002062373,-0.012419615,0.000883263,-1.31331403,-0.020071369,-0.005793477,0.000415827,0.001322085,-1.92930965,0.118671101
LK3-G11,YPD,0.633029344,0.00152564,-0.019214155,0.000987088,-0.478263019,-0.026344865,-0.012325189,0.000662686,0.00125608,-0.918585293,-0.014666887
LK3-H05,YPD,0.689757409,0.003074136,-0.035032687,0.001587872,-1.371475416,-0.044185809,-0.025379501,0.000784547,0.002238417,-1.845350119,-0.775224814
LK3-H06,YPD,0.68305236,0.002510092,-0.028887609,0.001525248,-1.54111166,-0.039757789,-0.018892102,0.000629228,0.002308573,-2.126764971,-0.203287232
LK3-H08,YPD,0.608736332,0.000813023,-0.021480242,0.000876467,-0.777412527,-0.029918708,-0.012816156,0.000456883,0.001244246,-1.42897863,0.037537569
LK3-H10,YPD,0.677220046,0.002853798,-0.025792053,0.000920688,-0.820237783,-0.034011971,-0.018490716,0.000538379,0.001269759,-1.461937725,0.015735221
LK3-H11,YPD,0.636572725,0.002894824,-0.018163891,0.00077925,-0.562564489,-0.025369377,-0.011292976,0.000412703,0.001115479,-1.404950829,0.454192086
LK4-A12,YPD,0.716922313,0.00090309,-0.04113277,0.001722754,-1.014490825,-0.049728273,-0.032127913,0.001097456,0.00229744,-1.516072365,-0.373904415
LK4-B01,YPD,0.613871756,0.00109883,-0.017888376,0.000895294,-0.312453096,-0.024899016,-0.01085528,0.00057514,0.001202554,-0.945562137,0.193972237
LK4-B03,YPD,0.636436041,0.000701805,-0.020344285,0.001168817,-1.002478118,-0.028028737,-0.012606261,0.000638098,0.001609544,-1.521547466,-0.305595932
LK4-B05,YPD,0.619548986,0.00248993,-0.015291076,0.00073135,0.120416624,-0.022174269,-0.008166138,0.000433148,0.000980188,-0.528259479,0.560735406
LK4-B08,YPD,0.611022531,0.000627339,-0.01740998,0.000706386,-0.801645091,-0.022868004,-0.011070137,0.000406799,0.000988835,-1.776468163,0.379834952
LK4-B12,YPD,0.65112255,0.001088646,-0.014495026,0.000837764,-0.639651617,-0.021259837,-0.00789751,0.000533193,0.001128379,-1.102216837,0.092276161
LK4-C09,YPD,0.587780066,0.002503409,-0.016690665,0.000831979,-0.480412764,-0.023071998,-0.010242516,0.000536272,0.001124563,-1.137284573,0.185882429
LK4-C10,YPD,0.62925305,0.000936399,-0.011421983,0.000803582,-0.1402655,-0.018109196,-0.004778203,0.000475518,0.001134172,-1.156760017,0.674155799
LK4-D01,YPD,0.683972509,0.000793625,-0.027874628,0.000901063,-0.529581998,-0.035538868,-0.020873704,0.000562862,0.001213641,-1.014480602,-0.005531032
LK4-D11,YPD,0.614019014,0.001173037,-0.011229177,0.000664135,-0.571365689,-0.017731418,-0.005564699,0.000367305,0.000932939,-1.527498979,0.614874186
LK4-E01,YPD,0.68011446,0.001836246,-0.023944753,0.002139898,-2.248249663,-0.035011313,-0.01296162,0.000751048,0.003396071,-2.895571573,-0.469179893
LK4-E03,YPD,0.686386834,0.000825623,-0.035850921,0.001596197,-0.996843259,-0.044507812,-0.026435936,0.000878973,0.002229846,-1.579414065,-0.023650365
LK4-G06,YPD,0.690261206,0.001608635,-0.021606085,0.00093751,-1.380794235,-0.028612444,-0.013849683,0.000465848,0.001324599,-2.138713917,-0.25783001
LK4-G09,YPD,0.623596689,0.001445741,-0.008779968,0.000679631,-0.641286983,-0.015336766,-0.003138621,0.00042379,0.000904316,-1.142791646,0.025449112
