,Strain,env,Mut_ID,avgS,varS,seS,Mean_GR,Std_err,mutCall,minCI,maxCI
1,LK1-A02,30SC3,1,0.00174314294470099,0.00208490100272367,0.00740714626972825,0.0730510056788689,0.0196383015084842,Neutral,-0.0173672944311979,0.0208535803205999
2,LK1-A02,30SC3,2,0.0209838843240923,0.0037470459848464,0.00796926935047671,0.0730510056788689,0.0196383015084842,Beneficial,0.000423169399862387,0.0415445992483222
3,LK1-A02,30SC3,3,0.0227731387173149,0.0024239027483066,0.010496542175893,0.0730510056788689,0.0196383015084842,Neutral,-0.00430794009648904,0.0498542175311188
4,LK1-A02,30SC3,5,0.00483080329518154,0.000407427199132438,0.00824042069246101,0.0730510056788689,0.0196383015084842,Neutral,-0.0164294820913679,0.0260910886817309
5,LK1-A02,30SC3,6,0.00115707143803995,0.00344955788957413,0.00906268893343173,0.0730510056788689,0.0196383015084842,Neutral,-0.0222246660102139,0.0245388088862938
6,LK1-A02,30SC3,7,0.0250259483412494,0.00295249799916785,0.00484071521605221,0.0730510056788689,0.0196383015084842,Beneficial,0.0125369030838347,0.0375149935986641
7,LK1-A02,30SC3,10,0.000423271097950487,0.00277418307759329,0.00424431099573627,0.0730510056788689,0.0196383015084842,Neutral,-0.0105270512710491,0.0113735934669501
8,LK1-A02,30SC3,11,-0.0116031470097251,0.00321526733134576,0.00845283296540378,0.0730510056788689,0.0196383015084842,Neutral,-0.0334114560604669,0.0102051620410167
9,LK1-A02,30SC3,14,0.041435679753246,0.00368798197642435,0.0135793629755308,0.0730510056788689,0.0196383015084842,Beneficial,0.00640092327637654,0.0764704362301155
10,LK1-A02,30SC3,15,0.0758350322699686,0.00329740939691978,0.00515674425054046,0.0730510056788689,0.0196383015084842,Beneficial,0.0625306321035742,0.089139432436363
11,LK1-A02,30SC3,17,-0.000999236826831203,0.00329243900845476,0.00570950138140841,0.0730510056788689,0.0196383015084842,Neutral,-0.0157297503908649,0.0137312767372025
12,LK1-A02,30SC3,18,0.0124030582802727,0.00702254757644341,0.034211468779839,0.0730510056788689,0.0196383015084842,Neutral,-0.0758625311717119,0.100668647732257
13,LK1-A02,30SC3,19,0.0138086096689388,0.00208441491931322,0.0186387361844145,0.0730510056788689,0.0196383015084842,Neutral,-0.0342793296868506,0.0618965490247282
14,LK1-A02,30SC3,21,0.0220626130469231,0.0053250353338995,0.023076038078274,0.0730510056788689,0.0196383015084842,Neutral,-0.0374735651950238,0.08159879128887
15,LK1-A02,30SC3,22,0.000639753295418527,0.00112747819117308,0.00814384715841309,0.0730510056788689,0.0196383015084842,Neutral,-0.0203713723732872,0.0216508789641243
16,LK1-A02,30SC3,26,-0.00378496484308505,0.00826476810428529,0.0371141664424006,0.0730510056788689,0.0196383015084842,Neutral,-0.0995395142644786,0.0919695845783085
17,LK1-A02,30SC3,27,-0.00319103305650951,0.00263081771867888,0.00691614411580074,0.0730510056788689,0.0196383015084842,Neutral,-0.0210346848752754,0.0146526187622564
18,LK1-A02,30SC3,29,0.00877756496250759,0.00487345981664818,0.0102929480044731,0.0730510056788689,0.0196383015084842,Neutral,-0.017778240889033,0.0353333708140482
19,LK1-A02,30SC3,30,0.0072141247787773,0.00431748346141863,0.0114382180502122,0.0730510056788689,0.0196383015084842,Neutral,-0.0222964777907702,0.0367247273483248
20,LK1-A02,30SC3,33,-0.00423733735239182,0.00118671666313748,0.0121794738347839,0.0730510056788689,0.0196383015084842,Neutral,-0.0356603798461343,0.0271857051413506
21,LK1-A02,30SC3,35,0.0211885598106191,0.00359157264880841,0.00767321576292496,0.0730510056788689,0.0196383015084842,Beneficial,0.0013916631422727,0.0409854564789655
22,LK1-A02,30SC3,39,0.0980166725901486,0.000901078416973391,0.0122547842152456,0.0730510056788689,0.0196383015084842,Beneficial,0.0663993293148149,0.129634015865482
23,LK1-A02,30SC3,40,0.0221185506706604,0.00379896617344591,0.0131407869098916,0.0730510056788689,0.0196383015084842,Neutral,-0.0117846795568599,0.0560217808981807
24,LK1-A02,30SC3,43,0.0348210017927942,0.00354449263636134,0.0124140394511203,0.0730510056788689,0.0196383015084842,Beneficial,0.00279278000890382,0.0668492235766846
25,LK1-A02,30SC3,44,0.0176218202709975,0.00190109441711497,0.00506857623955172,0.0730510056788689,0.0196383015084842,Beneficial,0.00454489357295406,0.0306987469690409
26,LK1-A02,30SC3,46,0.0319252404104729,0.00072606970366999,0.0110005280454318,0.0730510056788689,0.0196383015084842,Beneficial,0.00354387805325886,0.0603066027676869
27,LK1-A02,30SC3,50,-0.0430442307636979,0.00545310702217269,0.0261082051809692,0.0730510056788689,0.0196383015084842,Neutral,-0.110403400130598,0.0243149386032026
28,LK1-A02,30SC3,51,-0.00751399793778254,0.00198791517650646,0.00679930772212511,0.0730510056788689,0.0196383015084842,Neutral,-0.0250562118608653,0.0100282159853002
29,LK1-A02,30SC3,53,0.0664150914589627,0.0025073971317038,0.0204425908815549,0.0730510056788689,0.0196383015084842,Beneficial,0.0136732069845511,0.119156975933374
30,LK1-A02,30SC3,55,0.0282096408244152,0.00297698297935287,0.00935726043893955,0.0730510056788689,0.0196383015084842,Beneficial,0.00406790889195116,0.0523513727568792
31,LK1-A02,30SC3,57,-0.0115279935487465,0.00395130430560076,0.0256622430352479,0.0730510056788689,0.0196383015084842,Neutral,-0.0777365805796861,0.0546805934821931
